8						// Number of Vertices
198.994949   162.4264    0   0	// Vertex 0 : x,y,z, vvn: Last digit is vertex vector number, Vectors with common numbers are averaged
140.000000   220.0000    0   1	// Vertex 1 : x,y,z, vvn
57.5735931   218.9949    0   2	// Vertex 2 : x,y,z, vvn
0.00000000   160.0000    0   3	// Vertex etc.
1.00505063   77.57359    0   4
60.0000000   20.00000    0   5
142.426406   21.00505    0   6
200.000000   80.00000    0   7
0.64         0.64        0.64		// RGB Colour - in range 0-1
8						// Number of Vertices
200.000000   80.00000    300  8
142.426406   21.00505    300  9
60.0000000   20.00000    300  10
1.00505063   77.57359    300  11
0.00000000   160.0000    300  12
57.5735931   218.9949    300  13
140.000000   220.0000    300  14
198.994949   162.4264    300  15
0.32         0.32        0.32
4
198.994949   162.4264    300  16
140.000000   220.0000    300  17
140.000000   220.0000    0    18
198.994949   162.4264    0    19
0.99         0.99        0.99
4
57.5735931   218.9949    300  20
0.00000000   160.0000    300  21
0.00000000   160.0000    0    22
57.5735931   218.9949    0    23
0.99         0.99        0.99
4
1.00505063   77.57359    300  24
60.0000000   20.00000    300  25
60.0000000   20.00000    0    26
1.00505063   77.57359    0    27
0.99         0.99        0.99
4
142.426406   21.00505    300  28
200.000000   80.00000    300  29
200.000000   80.00000    0    30
142.426406   21.00505    0    31
0.99         0.99        0.99
4
142.426406   21.00505    0    31
60.0000000   20.00000    0    26
60.0000000   20.00000    300  25
142.426406   21.00505    300  28
0.99         0.99        0.99
4
1.00505063   77.57359    0    27
0.00000000   160.0000    0    22
0.00000000   160.0000    300  21
1.00505063   77.57359    300  24
0.99         0.99        0.99
4
57.5735931   218.9949    0    23
140.000000   220.0000    0    18
140.000000   220.0000    300  17
57.5735931   218.9949    300  20
0.99         0.99        0.99
4
200.000000   80.00000    300  29
198.994949   162.4264    300  16
198.994949   162.4264    0    19
200.000000   80.00000    0    30
0.99         0.99        0.99
0						// Zero in Number of vertices field indicates end of file

